allele_name	gene_family	consensus_gene_name	consensus_product	threshold	alleles_at_maximum_threshold	number_genomes	average_dose	min_dose	max_dose	genomes_containing_fissions	genomes_containing_duplications	number_fission_loci	number_duplicated_loci	no_loci	products	gene_names	min_length(bp)	max_length(bp)	average_length(bp)
g02536_00004	g02536	NA	Acetyltransferase	90	4	7	1	1	1	0	0	0	0	7	Acetyltransferase(5):hypothetical protein(2)	NA(7)	270	435	392.57
g03464_00004	g03464	NA	hypothetical protein	90	3	30	1	1	1	0	0	0	0	30	hypothetical protein(30)	NA(30)	321	321	321.00
g02535_00004	g02535	NA	hypothetical protein	90	5	136	1	1	1	0	0	0	0	136	hypothetical protein(136)	NA(136)	357	435	391.99
g05933_00004	g05933	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	345	345	345.00
g01566_00005	g01566	NA	putative signaling protein	90	8	378	1	1	1	0	0	0	0	378	putative signaling protein(378)	NA(378)	1116	1116	1116.00
g01566_00006	g01566	NA	putative signaling protein	90	8	1	1	1	1	0	0	0	0	1	putative signaling protein(1)	NA(1)	1092	1092	1092.00
g02247_00004	g02247	NA	hypothetical protein	90	6	379	1	1	1	0	0	0	0	379	hypothetical protein(379)	NA(379)	429	561	560.30
g02929_00004	g02929	gcvH	Glycine cleavage system H protein	90	4	378	1	1	1	0	0	0	0	378	Glycine cleavage system H protein(378)	gcvH(378)	276	378	377.46
g04278_00004	g04278	NA	hypothetical protein	90	2	22	1	1	1	0	0	0	0	22	hypothetical protein(22)	NA(22)	513	513	513.00
g04278_00005	g04278	NA	hypothetical protein	90	2	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	513	513	513.00
g04814_00004	g04814	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	1338	1338	1338.00
g02772_00004	g02772	NA	hypothetical protein	90	3	98	1	1	1	0	0	0	0	98	hypothetical protein(98)	NA(98)	282	1413	1371.09
g02766_00004	g02766	esiB	Secretory immunoglobulin A-binding protein EsiB	90	4	379	1	1	1	0	0	0	0	379	Secretory immunoglobulin A-binding protein EsiB(379)	esiB(379)	1470	1473	1470.85
g02032_00004	g02032	asrB	Anaerobic sulfite reductase subunit B	90	6	375	1	1	1	0	0	0	0	375	Anaerobic sulfite reductase subunit B(375)	asrB(375)	840	846	845.98
g05339_00004	g05339	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	189	189	189.00
g01436_00004	g01436	ampC	hypothetical protein	90	7	243	1	1	1	0	0	0	0	243	hypothetical protein(177):Beta-lactamase(66)	NA(177):ampC(66)	1605	1716	1715.54
g03484_00005	g03484	NA	hypothetical protein	90	3	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	690	750	720.00
g03484_00006	g03484	NA	hypothetical protein	90	3	18	1	1	1	0	0	0	0	18	hypothetical protein(18)	NA(18)	714	744	717.33
g02988_00004	g02988	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	90	4	7	1	1	1	0	0	0	0	7	3-deoxy-manno-octulosonate cytidylyltransferase(7)	kdsB(7)	642	648	645.43
g05142_00004	g05142	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	234	234	234.00
g04655_00004	g04655	NA	hypothetical protein	90	1	7	1	1	1	0	0	0	0	7	hypothetical protein(7)	NA(7)	2253	2253	2253.00
g04606_00004	g04606	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	1197	1197	1197.00
g03433_00005	g03433	NA	hypothetical protein	90	3	9	1	1	1	0	0	0	0	9	hypothetical protein(9)	NA(9)	279	396	383.00
g03433_00006	g03433	NA	hypothetical protein	90	3	14	1	1	1	0	0	0	0	14	hypothetical protein(14)	NA(14)	399	399	399.00
g05939_00004	g05939	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	342	342	342.00
g03422_00004	g03422	NA	hypothetical protein	90	3	377	1	1	1	0	0	0	0	377	hypothetical protein(377)	NA(377)	291	639	637.67
g03422_00005	g03422	NA	hypothetical protein	90	3	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	423	423	423.00
g05991_00004	g05991	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	318	318	318.00
g04201_00004	g04201	NA	hypothetical protein	90	2	15	1	1	1	0	0	0	0	15	hypothetical protein(15)	NA(15)	222	672	642.00
g06524_00004	g06524	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	714	714	714.00
g06050_00004	g06050	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	294	294	294.00
g01049_00004	g01049	bioD	ATP-dependent dethiobiotin synthetase BioD	90	11	378	1	1	1	0	0	0	0	378	ATP-dependent dethiobiotin synthetase BioD(347):ATP-dependent dethiobiotin synthetase BioD 1(31)	bioD(347):bioD1(31)	552	639	638.77
g01944_00004	g01944	hemD	Uroporphyrinogen-III synthase	90	7	379	1	1	1	0	0	0	0	379	Uroporphyrinogen-III synthase(379)	hemD(379)	750	753	752.99
g03729_00005	g03729	NA	hypothetical protein	90	2	25	1	1	1	0	0	0	0	25	hypothetical protein(25)	NA(25)	2088	2088	2088.00
g03729_00006	g03729	NA	hypothetical protein	90	2	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	2079	2079	2079.00
g04233_00004	g04233	NA	hypothetical protein	90	2	6	1	1	1	0	0	0	0	6	hypothetical protein(6)	NA(6)	540	540	540.00
g04233_00005	g04233	NA	hypothetical protein	90	2	7	1	1	1	0	0	0	0	7	hypothetical protein(7)	NA(7)	531	531	531.00
g06483_00004	g06483	NA	hypothetical protein	90	1	15	1	1	1	0	0	0	0	15	hypothetical protein(15)	NA(15)	750	750	750.00
g02898_00004	g02898	aroQ1	3-dehydroquinate dehydratase 1	90	4	379	1	1	1	0	0	0	0	379	3-dehydroquinate dehydratase 1(379)	aroQ1(379)	438	438	438.00
g03776_00004	g03776	NA	hypothetical protein	90	2	14	1	1	1	0	0	0	0	14	hypothetical protein(14)	NA(14)	1449	1449	1449.00
g05916_00004	g05916	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	354	354	354.00
g05594_00004	g05594	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	135	135	135.00
g04247_00004	g04247	pth	Peptidyl-tRNA hydrolase	90	2	379	1	1	1	0	0	0	0	379	Peptidyl-tRNA hydrolase(379)	pth(379)	570	570	570.00
g03926_00004	g03926	NA	hypothetical protein	90	2	5	1	1	1	0	0	0	0	5	hypothetical protein(5)	NA(5)	216	216	216.00
g01363_00004	g01363	NA	hypothetical protein	90	9	338	1	1	1	0	0	0	0	338	hypothetical protein(338)	NA(338)	180	474	463.03
g06014_00004	g06014	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	312	312	312.00
g05174_00004	g05174	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	228	228	228.00
g05341_00004	g05341	NA	hypothetical protein	90	1	3	1	1	1	0	0	0	0	3	hypothetical protein(3)	NA(3)	189	189	189.00
g04905_00004	g04905	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	1065	1065	1065.00
g02604_00004	g02604	ruvC	Crossover junction endodeoxyribonuclease RuvC	90	5	378	1	1	1	0	0	0	0	378	Crossover junction endodeoxyribonuclease RuvC(378)	ruvC(378)	525	525	525.00
g02329_00004	g02329	NA	hypothetical protein	90	4	42	1	1	1	0	0	0	0	42	hypothetical protein(42)	NA(42)	243	894	877.57
g05587_00004	g05587	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	135	135	135.00
g05493_00004	g05493	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	153	153	153.00
g06325_00004	g06325	NA	hypothetical protein	90	1	3	1	1	1	0	0	0	0	3	hypothetical protein(3)	NA(3)	531	531	531.00
g06369_00004	g06369	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	837	837	837.00
g03259_00004	g03259	NA	hypothetical protein	90	3	376	1	1	1	0	0	0	0	376	hypothetical protein(376)	NA(376)	1035	1059	1051.47
g04626_00004	g04626	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	1170	1170	1170.00
g02751_00007	g02751	NA	hypothetical protein	90	4	15	1	1	1	0	0	0	0	15	hypothetical protein(15)	NA(15)	3033	3036	3035.80
g02751_00008	g02751	NA	hypothetical protein	90	4	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	3030	3030	3030.00
g02751_00009	g02751	NA	hypothetical protein	90	4	3	1	1	1	0	0	0	0	3	hypothetical protein(3)	NA(3)	3021	3021	3021.00
g06102_00004	g06102	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	276	276	276.00
g05704_00004	g05704	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	471	471	471.00
g05164_00004	g05164	NA	hypothetical protein	90	1	30	1	1	1	0	0	0	0	30	hypothetical protein(30)	NA(30)	228	228	228.00
g02962_00004	g02962	gatC	Glutamyl-tRNA(Gln) amidotransferase subunit C	90	4	378	1	1	1	0	0	0	0	378	Glutamyl-tRNA(Gln) amidotransferase subunit C(378)	gatC(378)	297	300	297.04
g02962_00005	g02962	gatC	Glutamyl-tRNA(Gln) amidotransferase subunit C	90	4	1	1	1	1	0	0	0	0	1	Glutamyl-tRNA(Gln) amidotransferase subunit C(1)	gatC(1)	279	279	279.00
g03593_00004	g03593	NA	hypothetical protein	90	2	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	1527	1527	1527.00
g01946_00004	g01946	flgF	Flagellar basal-body rod protein FlgF	90	7	379	1	1	1	0	0	0	0	379	Flagellar basal-body rod protein FlgF(379)	flgF(379)	618	747	746.14
g01228_00009	g01228	NA	hypothetical protein	90	9	4	1	1	1	0	0	0	0	4	hypothetical protein(4)	NA(4)	1623	1638	1626.75
g01228_00010	g01228	NA	hypothetical protein	90	9	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	1593	1614	1603.50
g01228_00011	g01228	NA	hypothetical protein	90	9	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	1671	1671	1671.00
g01228_00012	g01228	NA	hypothetical protein	90	9	3	1	1	1	0	0	0	0	3	hypothetical protein(3)	NA(3)	1581	1581	1581.00
g01228_00013	g01228	NA	hypothetical protein	90	9	11	1	1	1	0	0	0	0	11	hypothetical protein(11)	NA(11)	1593	1593	1593.00
g01228_00014	g01228	NA	hypothetical protein	90	9	17	1	1	1	0	0	0	0	17	hypothetical protein(17)	NA(17)	1077	1563	1534.41
g00002_00004	g00002	rpmI	50S ribosomal protein L35	90	1	379	1	1	1	0	0	0	0	379	50S ribosomal protein L35(378):Translation initiation factor IF-3(1)	rpmI(378):infC(1)	201	603	202.06
g05236_00004	g05236	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	216	216	216.00
g04540_00004	g04540	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	1299	1299	1299.00
g02928_00004	g02928	NA	hypothetical protein	90	4	379	1	1	1	0	0	0	0	379	hypothetical protein(379)	NA(379)	378	378	378.00
g04585_00004	g04585	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	1230	1230	1230.00
g03852_00006	g03852	NA	hypothetical protein	90	2	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	990	990	990.00
g03852_00007	g03852	NA	hypothetical protein	90	2	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	201	201	201.00
g04909_00004	g04909	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	1059	1059	1059.00
g06329_00004	g06329	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	528	528	528.00
g04855_00004	g04855	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	1119	1119	1119.00
g05381_00004	g05381	NA	hypothetical protein	90	1	9	1	1	1	0	0	0	0	9	hypothetical protein(9)	NA(9)	180	180	180.00
g00098_00004	g00098	rplE	50S ribosomal protein L5	90	1	379	1	1	1	0	0	0	0	379	50S ribosomal protein L5(379)	rplE(379)	267	552	551.25
g03526_00004	g03526	NA	hypothetical protein	90	2	377	1	1	1	0	0	0	0	377	hypothetical protein(377)	NA(377)	234	525	507.79
g04650_00004	g04650	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	2406	2406	2406.00
g04758_00004	g04758	frzCD	Frizzy aggregation protein FrzCD	90	1	1	1	1	1	0	0	0	0	1	Frizzy aggregation protein FrzCD(1)	frzCD(1)	1500	1500	1500.00
g00091_00004	g00091	NA	hypothetical protein	90	1	379	1	1	1	0	0	0	0	379	hypothetical protein(379)	NA(379)	492	753	749.64
g01380_00004	g01380	NA	hypothetical protein	90	7	374	1	1	1	0	0	0	0	374	hypothetical protein(374)	NA(374)	279	549	509.20
g05195_00004	g05195	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	222	222	222.00
g04049_00004	g04049	NA	hypothetical protein	90	2	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	462	462	462.00
g04049_00005	g04049	NA	hypothetical protein	90	2	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	429	429	429.00
g03081_00009	g03081	mrr	Mrr restriction system protein	90	3	39	1	1	1	0	0	0	0	39	Mrr restriction system protein(39)	mrr(39)	657	924	917.15
g03081_00010	g03081	mrr	Mrr restriction system protein	90	3	1	1	1	1	0	0	0	0	1	Mrr restriction system protein(1)	mrr(1)	912	912	912.00
g03081_00011	g03081	mrr	Mrr restriction system protein	90	3	2	1	1	1	0	0	0	0	2	Mrr restriction system protein(2)	mrr(2)	915	915	915.00
g01361_00004	g01361	NA	hypothetical protein	90	9	348	1	1	1	0	0	0	0	348	hypothetical protein(348)	NA(348)	192	195	192.01
g01983_00004	g01983	NA	hypothetical protein	90	6	141	1	1	1	0	0	0	0	141	hypothetical protein(141)	NA(141)	243	978	962.36
g06126_00004	g06126	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	690	690	690.00
g04105_00006	g04105	NA	hypothetical protein	90	2	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	372	372	372.00
g04105_00007	g04105	NA	hypothetical protein	90	2	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	366	366	366.00
g04466_00004	g04466	NA	hypothetical protein	90	1	3	1	1	1	0	0	0	0	3	hypothetical protein(3)	NA(3)	912	912	912.00
g06105_00004	g06105	NA	hypothetical protein	90	1	5	1	1	1	0	0	0	0	5	hypothetical protein(5)	NA(5)	702	702	702.00
g06364_00004	g06364	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	840	840	840.00
g05077_00004	g05077	NA	hypothetical protein	90	1	43	1	1	1	0	0	0	0	43	hypothetical protein(43)	NA(43)	249	249	249.00
g02190_00005	g02190	NA	hypothetical protein	90	6	102	1	1	1	0	0	0	0	102	hypothetical protein(102)	NA(102)	300	453	451.50
g02190_00006	g02190	NA	hypothetical protein	90	6	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	453	453	453.00
g02190_00007	g02190	NA	hypothetical protein	90	6	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	453	453	453.00
g02190_00008	g02190	NA	hypothetical protein	90	6	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	453	453	453.00
g01107_00004	g01107	NA	hypothetical protein	90	9	378	1	1	1	0	0	0	0	378	hypothetical protein(378)	NA(378)	555	852	851.21
g04285_00004	g04285	baeC	Polyketide biosynthesis malonyl CoA-acyl carrier protein transacylase BaeC	90	2	5	1	1	1	0	0	0	0	5	Polyketide biosynthesis malonyl CoA-acyl carrier protein transacylase BaeC(5)	baeC(5)	831	831	831.00
g03519_00004	g03519	NA	hypothetical protein	90	3	85	1	1	1	0	0	0	0	85	hypothetical protein(85)	NA(85)	561	561	561.00
g04055_00004	g04055	NA	hypothetical protein	90	2	34	1	1	1	0	0	0	0	34	hypothetical protein(34)	NA(34)	423	456	455.03
g02456_00004	g02456	NA	Sugar transporter SemiSWEET	90	5	379	1	1	1	0	0	0	0	379	Sugar transporter SemiSWEET(379)	NA(379)	267	267	267.00
g02945_00004	g02945	NA	Purine nucleoside phosphoramidase	90	4	375	1	1	1	0	0	0	0	375	Purine nucleoside phosphoramidase(375)	NA(375)	342	342	342.00
g05299_00004	g05299	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	198	198	198.00
g05715_00004	g05715	nudC	NADH pyrophosphatase	90	1	1	1	1	1	0	0	0	0	1	NADH pyrophosphatase(1)	nudC(1)	465	465	465.00
g01235_00007	g01235	NA	putative type I restriction enzymeP M protein	90	9	16	1	1	1	0	0	0	0	16	putative type I restriction enzymeP M protein(16)	NA(16)	1596	1605	1599.38
g01235_00008	g01235	NA	putative type I restriction enzymeP M protein	90	9	2	1	1	1	0	0	0	0	2	putative type I restriction enzymeP M protein(2)	NA(2)	1596	1596	1596.00
g01235_00009	g01235	NA	putative type I restriction enzymeP M protein	90	9	2	1	1	1	0	0	0	0	2	putative type I restriction enzymeP M protein(2)	NA(2)	1596	1596	1596.00
g01235_00010	g01235	NA	putative type I restriction enzymeP M protein	90	9	1	1	1	1	0	0	0	0	1	putative type I restriction enzymeP M protein(1)	NA(1)	1557	1557	1557.00
g06188_00004	g06188	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	636	636	636.00
g04541_00004	g04541	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	1293	1293	1293.00
g02149_00004	g02149	NA	hypothetical protein	90	6	21	1	1	1	0	0	0	0	21	hypothetical protein(21)	NA(21)	414	420	415.29
g02149_00005	g02149	NA	hypothetical protein	90	6	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	414	414	414.00
g05757_00004	g05757	NA	Putative thiamine biosynthesis protein	90	1	1	1	1	1	0	0	0	0	1	Putative thiamine biosynthesis protein(1)	NA(1)	435	435	435.00
g03429_00006	g03429	cdd	Cytidine deaminase	90	3	377	1	1	1	0	0	0	0	377	Cytidine deaminase(377)	cdd(377)	396	396	396.00
g03429_00007	g03429	cdd	Cytidine deaminase	90	3	1	1	1	1	0	0	0	0	1	Cytidine deaminase(1)	cdd(1)	411	411	411.00
g06203_00004	g06203	chrC	Superoxide dismutase [Fe]	90	1	1	1	1	1	0	0	0	0	1	Superoxide dismutase [Fe](1)	chrC(1)	621	621	621.00
g03030_00004	g03030	yohK	Inner membrane protein YohK	90	4	379	1	1	1	0	0	0	0	379	Inner membrane protein YohK(379)	yohK(379)	708	708	708.00
g05823_00004	g05823	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	396	396	396.00
g05610_00004	g05610	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	132	132	132.00
g03123_00006	g03123	NA	hypothetical protein	90	3	4	1	1	1	0	0	0	0	4	hypothetical protein(4)	NA(4)	1308	1338	1330.50
g03123_00007	g03123	NA	hypothetical protein	90	3	17	1	1	1	0	0	0	0	17	hypothetical protein(17)	NA(17)	432	432	432.00
g05609_00004	g05609	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	132	132	132.00
g05676_00004	g05676	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	489	489	489.00
g06306_00004	g06306	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	543	543	543.00
g03392_00007	g03392	NA	Tyrosine recombinase XerD-like protein	90	3	22	1	1	1	0	0	0	0	22	Tyrosine recombinase XerD-like protein(20):hypothetical protein(2)	NA(22)	312	480	464.73
g03392_00008	g03392	NA	hypothetical protein	90	3	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	783	783	783.00
g03392_00009	g03392	NA	hypothetical protein	90	3	30	1	1	1	0	0	0	0	30	hypothetical protein(30)	NA(30)	768	768	768.00
g00926_00004	g00926	yfbR	5'-deoxynucleotidase YfbR	90	12	376	1	1	1	0	0	0	0	376	5'-deoxynucleotidase YfbR(376)	yfbR(376)	588	636	595.38
g03744_00004	g03744	smc	Chromosome partition protein Smc	90	2	14	1	1	1	0	0	0	0	14	Chromosome partition protein Smc(14)	smc(14)	1911	1911	1911.00
g05276_00004	g05276	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	204	204	204.00
g03947_00004	g03947	NA	hypothetical protein	90	2	147	1	1	1	0	0	0	0	147	hypothetical protein(147)	NA(147)	198	198	198.00
g05784_00004	g05784	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	420	420	420.00
g02035_00004	g02035	dprE1	Decaprenylphosphoryl-beta-D-ribose oxidase	90	6	377	1	1	1	0	0	0	0	377	Decaprenylphosphoryl-beta-D-ribose oxidase(377)	dprE1(377)	516	1335	1295.02
g02035_00005	g02035	dprE1	Decaprenylphosphoryl-beta-D-ribose oxidase	90	6	2	1	1	1	0	0	0	0	2	Decaprenylphosphoryl-beta-D-ribose oxidase(2)	dprE1(2)	1296	1296	1296.00
g01597_00004	g01597	NA	hypothetical protein	90	7	153	1	1	1	0	0	0	0	153	hypothetical protein(153)	NA(153)	252	843	532.45
g06440_00004	g06440	NA	hypothetical protein	90	1	6	1	1	1	0	0	0	0	6	hypothetical protein(6)	NA(6)	777	777	777.00
g04477_00004	g04477	NA	hypothetical protein	90	1	4	1	1	1	0	0	0	0	4	hypothetical protein(4)	NA(4)	903	903	903.00
g03331_00007	g03331	rcsA	Transcriptional regulatory protein RcsA	90	3	15	1	1	1	0	0	0	0	15	Transcriptional regulatory protein RcsA(8):hypothetical protein(7)	rcsA(8):NA(7)	390	801	773.60
g03331_00008	g03331	NA	hypothetical protein	90	3	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	588	588	588.00
g03206_00006	g03206	smc	Chromosome partition protein Smc	90	3	5	1	1	1	0	0	0	0	5	Chromosome partition protein Smc(4):hypothetical protein(1)	smc(4):NA(1)	690	2625	2238.00
g03206_00007	g03206	NA	hypothetical protein	90	3	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	2625	2625	2625.00
