allele_name	gene_family	consensus_gene_name	consensus_product	threshold	alleles_at_maximum_threshold	number_genomes	average_dose	min_dose	max_dose	genomes_containing_fissions	genomes_containing_duplications	number_fission_loci	number_duplicated_loci	no_loci	products	gene_names	min_length(bp)	max_length(bp)	average_length(bp)
g03017_00004	g03017	NA	hypothetical protein	90	2	3	1	1	1	0	0	0	0	3	hypothetical protein(3)	NA(3)	219	219	219.00
g04168_00004	g04168	NA	hypothetical protein	90	1	3	1	1	1	0	0	0	0	3	hypothetical protein(3)	NA(3)	1296	1296	1296.00
g02999_00004	g02999	NA	hypothetical protein	90	2	7	1	1	1	0	0	0	0	7	hypothetical protein(7)	NA(7)	153	246	232.71
g03050_00004	g03050	NA	hypothetical protein	90	2	24	1	1	1	0	0	0	0	24	hypothetical protein(24)	NA(24)	189	189	189.00
g03028_00004	g03028	NA	hypothetical protein	90	2	3	1	1	1	0	0	0	0	3	hypothetical protein(3)	NA(3)	186	210	202.00
g02383_00004	g02383	NA	bacteriophage transcriptional regulator	90	3	14	1	1	1	0	0	0	0	14	bacteriophage transcriptional regulator(14)	NA(14)	213	213	213.00
g03229_00004	g03229	NA	hypothetical protein	90	1	5	1	1	1	0	0	0	0	5	hypothetical protein(5)	NA(5)	474	474	474.00
g04948_00004	g04948	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	2790	2790	2790.00
g00035_00004	g00035	trxA	thioredoxin	90	1	778	1	1	1	0	0	0	0	778	thioredoxin(778)	trxA(778)	315	315	315.00
g01385_00004	g01385	NA	hypothetical protein	90	3	769	1	1	1	0	0	0	0	769	hypothetical protein(769)	NA(769)	204	369	356.59
g04916_00004	g04916	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	126	126	126.00
g03984_00004	g03984	purR	pur operon repressor	90	1	777	1	1	1	0	0	0	0	777	pur operon repressor(777)	purR(777)	606	837	824.23
g01824_00004	g01824	NA	coenzyme A disulfide reductase	90	4	6	1	1	1	0	0	0	0	6	coenzyme A disulfide reductase(6)	NA(6)	1665	1665	1665.00
g02737_00004	g02737	NA	hypothetical protein	90	2	3	1	1	1	0	0	0	0	3	hypothetical protein(3)	NA(3)	1023	1023	1023.00
g01623_00004	g01623	NA	hypothetical protein	90	5	29	1	1	1	0	0	0	0	29	hypothetical protein(29)	NA(29)	276	276	276.00
g03297_00004	g03297	NA	hypothetical protein	90	1	26	1	1	1	0	0	0	0	26	hypothetical protein(26)	NA(26)	432	432	432.00
g02424_00004	g02424	NA	hypothetical protein	90	2	3	1	1	1	0	0	0	0	3	hypothetical protein(3)	NA(3)	561	561	561.00
g00044_00004	g00044	NA	hypothetical protein	90	1	778	1	1	1	0	0	0	0	778	hypothetical protein(778)	NA(778)	378	765	764.50
g01101_00007	g01101	NA	hypothetical protein	90	3	5	1	1	1	0	0	0	0	5	hypothetical protein(5)	NA(5)	390	1164	762.60
g01101_00008	g01101	NA	hypothetical protein	90	3	3	1	1	1	0	0	0	0	3	hypothetical protein(3)	NA(3)	381	435	400.00
g01705_00004	g01705	NA	hypothetical protein	90	3	778	1	1	1	0	0	0	0	778	hypothetical protein(778)	NA(778)	324	474	473.81
g01649_00004	g01649	NA	hypothetical protein	90	4	24	1	1	1	0	0	0	0	24	hypothetical protein(24)	NA(24)	285	567	499.00
g04917_00004	g04917	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	126	126	126.00
g03793_00004	g03793	ftsH	ATP-dependent zinc metalloprotease FtsH	90	1	2	1	1	1	0	0	0	0	2	ATP-dependent zinc metalloprotease FtsH(2)	ftsH(2)	1050	1050	1050.00
g00069_00004	g00069	murD	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase	90	1	778	1	1	1	0	0	0	0	778	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase(778)	murD(778)	255	1350	1346.07
g01381_00004	g01381	mvaA	hydroxymethylglutaryl-CoA reductase%2C degradative	90	6	778	1	1	1	0	0	0	0	778	hydroxymethylglutaryl-CoA reductase%2C degradative(778)	mvaA(778)	1272	1281	1279.75
g02205_00004	g02205	NA	hypothetical protein	90	3	51	1	1	1	0	0	0	0	51	hypothetical protein(51)	NA(51)	984	1188	1174.47
g02837_00004	g02837	wecG	teichoic acid biosynthesis protein	90	2	778	1	1	1	0	0	0	0	778	teichoic acid biosynthesis protein(778)	wecG(778)	750	765	764.98
g04530_00004	g04530	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	255	255	255.00
g00123_00004	g00123	mvaS	3-hydroxy-3-methylglutaryl coenzyme A synthase	90	1	778	1	1	1	0	0	0	0	778	3-hydroxy-3-methylglutaryl coenzyme A synthase(778)	mvaS(778)	1167	1167	1167.00
g04116_00004	g04116	NA	hypothetical protein	90	1	23	1	1	1	0	0	0	0	23	hypothetical protein(23)	NA(23)	1398	1398	1398.00
g02328_00004	g02328	mnhC	monovalent cation antiporter-3%2C MnhC_1	90	3	778	1	1	1	0	0	0	0	778	monovalent cation antiporter-3%2C MnhC_1(778)	mnhC(778)	345	345	345.00
g01930_00004	g01930	NA	hypothetical protein	90	4	53	1	1	1	0	0	0	0	53	hypothetical protein(53)	NA(53)	219	318	256.53
g04723_00004	g04723	NA	4-oxalocrotonate tautomerase	90	1	777	1	1	1	0	0	0	0	777	4-oxalocrotonate tautomerase(777)	NA(777)	189	189	189.00
g01124_00005	g01124	NA	hypothetical protein	90	6	199	1	1	1	0	0	0	0	199	hypothetical protein(199)	NA(199)	222	480	380.79
g01124_00006	g01124	NA	hypothetical protein	90	6	14	1	1	1	0	0	0	0	14	hypothetical protein(14)	NA(14)	327	327	327.00
g01124_00007	g01124	NA	hypothetical protein	90	6	5	1	1	1	0	0	0	0	5	hypothetical protein(5)	NA(5)	489	489	489.00
g02334_00004	g02334	NA	hypothetical protein	90	3	38	1	1	1	0	0	0	0	38	hypothetical protein(37):putative endonuclease(1)	NA(38)	306	321	306.39
g04117_00004	g04117	NA	putative phage minor structural protein	90	1	2	1	1	1	0	0	0	0	2	putative phage minor structural protein(2)	NA(2)	1398	1398	1398.00
g03302_00004	g03302	NA	hypothetical protein	90	1	119	1	1	1	0	0	0	0	119	hypothetical protein(119)	NA(119)	429	429	429.00
g03646_00004	g03646	fokIM	Modification methylase FokI	90	1	2	1	1	1	0	0	0	0	2	Modification methylase FokI(2)	fokIM(2)	1956	1956	1956.00
g02505_00004	g02505	rplI	50S ribosomal protein L9	90	2	778	1	1	1	0	0	0	0	778	50S ribosomal protein L9(778)	rplI(778)	441	453	446.95
g03008_00005	g03008	NA	hypothetical protein	90	2	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	234	234	234.00
g04588_00004	g04588	NA	hypothetical protein	90	1	777	1	1	1	0	0	0	0	777	hypothetical protein(777)	NA(777)	192	234	222.04
g02722_00004	g02722	NA	hypothetical protein	90	2	58	1	1	1	0	0	0	0	58	hypothetical protein(58)	NA(58)	348	1080	1067.38
g00103_00004	g00103	gyrB	DNA topoisomerase subunit B	90	1	778	1	1	1	0	0	0	0	778	DNA topoisomerase subunit B(462):DNA topoisomerase (ATP-hydrolyzing) subunit B%2C ParE(316)	gyrB(462):parE(316)	1617	2109	1991.57
g02003_00004	g02003	glpP	putative glycerol uptake operon antiterminator regulatory protein%2C GlpP	90	1	775	1	1	1	0	0	0	0	775	putative glycerol uptake operon antiterminator regulatory protein%2C GlpP(775)	glpP(775)	246	534	533.48
g02323_00004	g02323	NA	putative transcriptional regulator	90	3	59	1	1	1	0	0	0	0	59	putative transcriptional regulator(59)	NA(59)	354	354	354.00
g02648_00004	g02648	merB	Alkylmercury lyase	90	2	2	1	1	1	0	0	0	0	2	Alkylmercury lyase(2)	merB(2)	573	573	573.00
g04915_00004	g04915	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	129	129	129.00
g03800_00004	g03800	NA	hypothetical protein	90	1	6	1	1	1	0	0	0	0	6	hypothetical protein(6)	NA(6)	1041	1041	1041.00
g00067_00004	g00067	glnR	MerR family transcriptional regulator	90	1	778	1	1	1	0	0	0	0	778	MerR family transcriptional regulator(778)	glnR(778)	204	369	368.79
g03072_00004	g03072	NA	hypothetical protein	90	2	5	1	1	1	0	0	0	0	5	hypothetical protein(5)	NA(5)	147	147	147.00
g01860_00004	g01860	rbsK	putative ribokinase	90	3	7	1	1	1	0	0	0	0	7	putative ribokinase(7)	rbsK(7)	369	939	857.57
g04674_00004	g04674	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	207	207	207.00
g03840_00004	g03840	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	996	996	996.00
g03713_00004	g03713	NA	hypothetical protein	90	1	18	1	1	1	0	0	0	0	18	hypothetical protein(18)	NA(18)	1191	1191	1191.00
g04681_00004	g04681	NA	hypothetical protein	90	1	35	1	1	1	0	0	0	0	35	hypothetical protein(35)	NA(35)	204	204	204.00
g03502_00004	g03502	NA	hypothetical protein	90	1	6	1	1	1	0	0	0	0	6	hypothetical protein(6)	NA(6)	642	642	642.00
g03365_00004	g03365	NA	kanamycin nucleotidyltransferase	90	1	65	1	1	1	0	0	0	0	65	kanamycin nucleotidyltransferase(65)	NA(65)	744	744	744.00
g03683_00004	g03683	pcrA	ATP-dependent DNA helicase%2C PcrA	90	1	14	1	1	1	0	0	0	0	14	ATP-dependent DNA helicase%2C PcrA(14)	pcrA(14)	1749	1749	1749.00
g03061_00004	g03061	NA	hypothetical protein	90	2	20	1	1	1	0	0	0	0	20	hypothetical protein(20)	NA(20)	171	171	171.00
g01646_00004	g01646	NA	hypothetical protein	90	5	50	1	1	1	0	0	0	0	50	hypothetical protein(50)	NA(50)	132	132	132.00
g01646_00005	g01646	NA	hypothetical protein	90	5	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	135	135	135.00
g00122_00004	g00122	ftsW	cell division membrane protein	90	1	778	1	1	1	0	0	0	0	778	cell division membrane protein(778)	ftsW(778)	780	1227	1223.24
g03588_00004	g03588	betI	HTH-type transcriptional regulator BetI	90	1	17	1	1	1	0	0	0	0	17	HTH-type transcriptional regulator BetI(16):hypothetical protein(1)	betI(16):NA(1)	462	582	574.94
g04754_00004	g04754	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	183	183	183.00
g02216_00004	g02216	alr2	alanine racemase family protein	90	3	778	1	1	1	0	0	0	0	778	alanine racemase family protein(778)	alr2(778)	861	1092	1085.83
g00068_00004	g00068	ctsR	class III stress genes transcriptional repressor	90	1	778	1	1	1	0	0	0	0	778	class III stress genes transcriptional repressor(778)	ctsR(778)	138	471	470.47
g03193_00004	g03193	NA	hypothetical protein	90	1	3	1	1	1	0	0	0	0	3	hypothetical protein(3)	NA(3)	501	501	501.00
g04686_00004	g04686	NA	hypothetical protein	90	1	3	1	1	1	0	0	0	0	3	hypothetical protein(3)	NA(3)	204	204	204.00
g04628_00004	g04628	NA	hypothetical protein	90	1	8	1	1	1	0	0	0	0	8	hypothetical protein(8)	NA(8)	222	222	222.00
g03909_00004	g03909	NA	hypothetical protein	90	1	8	1	1	1	0	0	0	0	8	hypothetical protein(8)	NA(8)	924	924	924.00
g03569_00004	g03569	recR	putative recombination protein	90	1	777	1	1	1	0	0	0	0	777	putative recombination protein(777)	recR(777)	597	597	597.00
g04463_00004	g04463	NA	hypothetical protein	90	1	5	1	1	1	0	0	0	0	5	hypothetical protein(5)	NA(5)	279	279	279.00
g03420_00004	g03420	NA	hypothetical protein	90	1	11	1	1	1	0	0	0	0	11	hypothetical protein(11)	NA(11)	684	699	693.55
g02712_00004	g02712	ctaA	cytochrome oxidase assembly protein	90	2	778	1	1	1	0	0	0	0	778	cytochrome oxidase assembly protein(778)	ctaA(778)	921	1122	1049.84
g03077_00004	g03077	NA	hypothetical protein	90	2	35	1	1	1	0	0	0	0	35	hypothetical protein(35)	NA(35)	135	135	135.00
g03786_00004	g03786	NA	N-succinyldiaminopimelate aminotransferase	90	1	14	1	1	1	0	0	0	0	14	N-succinyldiaminopimelate aminotransferase(14)	NA(14)	1065	1065	1065.00
g03777_00004	g03777	rep	ATP-dependent DNA helicase Rep	90	1	32	1	1	1	0	0	0	0	32	ATP-dependent DNA helicase Rep(32)	rep(32)	1086	1086	1086.00
g03207_00004	g03207	NA	hypothetical protein	90	1	17	1	1	1	0	0	0	0	17	hypothetical protein(17)	NA(17)	492	492	492.00
g03963_00004	g03963	parA	Chromosome partitioning protein ParA	90	1	4	1	1	1	0	0	0	0	4	Chromosome partitioning protein ParA(4)	parA(4)	867	867	867.00
g01620_00005	g01620	NA	hypothetical protein	90	5	11	1	1	1	0	0	0	0	11	hypothetical protein(11)	NA(11)	291	291	291.00
g01620_00006	g01620	NA	hypothetical protein	90	5	7	1	1	1	0	0	0	0	7	hypothetical protein(7)	NA(7)	288	288	288.00
g02783_00004	g02783	NA	hypothetical protein	90	2	18	1	1	1	0	0	0	0	18	hypothetical protein(18)	NA(18)	870	870	870.00
g02783_00005	g02783	NA	hypothetical protein	90	2	4	1	1	1	0	0	0	0	4	hypothetical protein(4)	NA(4)	477	870	771.75
g04474_00004	g04474	NA	hypothetical protein	90	1	6	1	1	1	0	0	0	0	6	hypothetical protein(6)	NA(6)	276	276	276.00
g00027_00004	g00027	NA	glycosyl transferase family protein	90	1	778	1	1	1	0	0	0	0	778	glycosyl transferase family protein(778)	NA(778)	765	1056	1055.43
g02765_00004	g02765	cwlA	N-acetylmuramoyl-L-alanine amidase CwlA	90	2	45	1	1	1	0	0	0	0	45	N-acetylmuramoyl-L-alanine amidase CwlA(44):hypothetical protein(1)	cwlA(44):NA(1)	363	921	908.13
g03511_00004	g03511	NA	hypothetical protein	90	1	3	1	1	1	0	0	0	0	3	hypothetical protein(3)	NA(3)	639	639	639.00
g03160_00004	g03160	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	522	522	522.00
g02902_00004	g02902	NA	hypothetical protein	90	2	3	1	1	1	0	0	0	0	3	hypothetical protein(3)	NA(3)	246	393	344.00
g02030_00004	g02030	dfrA	trimethoprim-sensitive dihydrofolate reductase	90	3	24	1	1	1	0	0	0	0	24	trimethoprim-sensitive dihydrofolate reductase(24)	dfrA(24)	492	498	495.75
g01115_00007	g01115	NA	hypothetical protein	90	3	181	1	1	1	0	0	0	0	181	hypothetical protein(181)	NA(181)	342	615	609.41
g01115_00008	g01115	NA	hypothetical protein	90	3	4	1	1	1	0	0	0	0	4	hypothetical protein(4)	NA(4)	507	612	585.75
g04404_00004	g04404	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	303	303	303.00
g00723_00005	g00723	NA	hypothetical protein	90	12	41	1	1	1	0	0	0	0	41	hypothetical protein(41)	NA(41)	156	168	156.29
g03191_00004	g03191	NA	hypothetical protein	90	1	3	1	1	1	0	0	0	0	3	hypothetical protein(3)	NA(3)	501	501	501.00
g02867_00004	g02867	NA	putative DNA primase-phage associated	90	2	27	1	1	1	0	0	0	0	27	putative DNA primase-phage associated(27)	NA(27)	159	1371	1280.78
g03038_00004	g03038	NA	hypothetical protein	90	2	7	1	1	1	0	0	0	0	7	hypothetical protein(7)	NA(7)	183	201	185.57
g02488_00004	g02488	NA	hypothetical protein	90	2	23	1	1	1	0	0	0	0	23	hypothetical protein(23)	NA(23)	468	468	468.00
g03439_00004	g03439	NA	hypothetical protein	90	1	25	1	1	1	0	0	0	0	25	hypothetical protein(25)	NA(25)	330	684	669.84
g03343_00004	g03343	NA	hypothetical protein	90	1	35	1	1	1	0	0	0	0	35	hypothetical protein(35)	NA(35)	405	405	405.00
g01671_00004	g01671	NA	acetyltransferase	90	3	39	1	1	1	0	0	0	0	39	acetyltransferase(31):hypothetical protein(8)	NA(39)	228	543	479.92
g02968_00004	g02968	NA	hypothetical protein	90	2	59	1	1	1	0	0	0	0	59	hypothetical protein(59)	NA(59)	246	291	290.24
g04471_00004	g04471	NA	hypothetical protein	90	1	13	1	1	1	0	0	0	0	13	hypothetical protein(13)	NA(13)	276	276	276.00
g04815_00004	g04815	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	168	168	168.00
g01963_00004	g01963	NA	hypothetical protein	90	4	7	1	1	1	0	0	0	0	7	hypothetical protein(7)	NA(7)	192	192	192.00
g02332_00004	g02332	NA	hypothetical protein	90	3	8	1	1	1	0	0	0	0	8	hypothetical protein(8)	NA(8)	330	330	330.00
g02332_00005	g02332	NA	hypothetical protein	90	3	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	330	330	330.00
g01914_00004	g01914	NA	hypothetical protein	90	4	33	1	1	1	0	0	0	0	33	hypothetical protein(33)	NA(33)	279	366	363.36
g03333_00004	g03333	yopX	YopX-family protein	90	1	6	1	1	1	0	0	0	0	6	YopX-family protein(6)	yopX(6)	411	411	411.00
g02810_00004	g02810	tagH	Teichoic acid export ATP-binding protein%2C TagH	90	1	778	1	1	1	0	0	0	0	778	Teichoic acid export ATP-binding protein%2C TagH(778)	tagH(778)	576	828	794.67
g04468_00004	g04468	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	279	279	279.00
g03926_00004	g03926	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	906	906	906.00
g02274_00004	g02274	NA	haloacid dehalogenase-like hydrolase	90	1	778	1	1	1	0	0	0	0	778	haloacid dehalogenase-like hydrolase(778)	NA(778)	804	810	804.01
g02981_00004	g02981	NA	hypothetical protein	90	2	4	1	1	1	0	0	0	0	4	hypothetical protein(4)	NA(4)	270	270	270.00
g03265_00004	g03265	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	447	447	447.00
g03204_00004	g03204	dfrA	trimethoprim-sensitive dihydrofolate reductase	90	1	2	1	1	1	0	0	0	0	2	trimethoprim-sensitive dihydrofolate reductase(2)	dfrA(2)	495	495	495.00
g04922_00004	g04922	NA	hypothetical protein	90	1	25	1	1	1	0	0	0	0	25	hypothetical protein(25)	NA(25)	123	123	123.00
g02346_00004	g02346	NA	hypothetical protein	90	3	33	1	1	1	0	0	0	0	33	hypothetical protein(33)	NA(33)	135	294	226.55
g04345_00004	g04345	NA	Holin protein	90	1	5	1	1	1	0	0	0	0	5	Holin protein(5)	NA(5)	330	330	330.00
g04630_00004	g04630	NA	hypothetical protein	90	1	3	1	1	1	0	0	0	0	3	hypothetical protein(3)	NA(3)	222	222	222.00
g03510_00004	g03510	NA	hypothetical protein	90	1	5	1	1	1	0	0	0	0	5	hypothetical protein(5)	NA(5)	378	639	534.60
g03531_00004	g03531	NA	hypothetical protein	90	1	45	1	1	1	0	0	0	0	45	hypothetical protein(45)	NA(45)	204	624	604.67
g04184_00004	g04184	NA	hypothetical protein	90	1	17	1	1	1	0	0	0	0	17	hypothetical protein(17)	NA(17)	1251	1251	1251.00
g03470_00004	g03470	NA	hypothetical protein	90	1	5	1	1	1	0	0	0	0	5	hypothetical protein(5)	NA(5)	666	666	666.00
g00081_00004	g00081	rpmE2	putative 50S ribosomal protein L31	90	1	778	1	1	1	0	0	0	0	778	putative 50S ribosomal protein L31(778)	rpmE2(778)	255	255	255.00
g04079_00004	g04079	NA	hypothetical protein	90	1	6	1	1	1	0	0	0	0	6	hypothetical protein(6)	NA(6)	1533	1533	1533.00
g04101_00004	g04101	dnaE	DNA-directed DNA polymerase III subunit alpha	90	1	4	1	1	1	0	0	0	0	4	DNA-directed DNA polymerase III subunit alpha(4)	dnaE(4)	1437	1437	1437.00
g03545_00004	g03545	NA	hypothetical protein	90	1	6	1	1	1	0	0	0	0	6	hypothetical protein(6)	NA(6)	615	615	615.00
g02439_00004	g02439	hpt	hypoxanthine-guanine phosphoribosyltransferase	90	1	776	1	1	1	0	0	0	0	776	hypoxanthine-guanine phosphoribosyltransferase(776)	hpt(776)	333	540	539.73
g01738_00004	g01738	NA	hypothetical protein	90	4	11	1	1	1	0	0	0	0	11	hypothetical protein(11)	NA(11)	330	408	359.45
g02682_00004	g02682	recF	recombinational DNA repair ATPase%2C RecF_1	90	2	4	1	1	1	0	0	0	0	4	recombinational DNA repair ATPase%2C RecF_1(4)	recF(4)	1770	1770	1770.00
g00089_00004	g00089	opuD	BCCT family betaine/carnitine/choline transporter	90	1	778	1	1	1	0	0	0	0	778	BCCT family betaine/carnitine/choline transporter(778)	opuD(778)	1371	1647	1646.65
g02988_00004	g02988	NA	hypothetical protein	90	2	86	1	1	1	0	0	0	0	86	hypothetical protein(86)	NA(86)	258	258	258.00
g02784_00004	g02784	NA	hypothetical protein	90	2	778	1	1	1	0	0	0	0	778	hypothetical protein(778)	NA(778)	384	867	866.36
g03715_00004	g03715	NA	abortive infection bacteriophage resistance protein	90	1	4	1	1	1	0	0	0	0	4	abortive infection bacteriophage resistance protein(4)	NA(4)	1191	1191	1191.00
g02480_00004	g02480	NA	hypothetical protein	90	2	17	1	1	1	0	0	0	0	17	hypothetical protein(17)	NA(17)	483	483	483.00
g04645_00004	g04645	NA	hypothetical protein	90	1	19	1	1	1	0	0	0	0	19	hypothetical protein(19)	NA(19)	216	216	216.00
g03408_00004	g03408	NA	hypothetical protein	90	1	6	1	1	1	0	0	0	0	6	hypothetical protein(6)	NA(6)	708	708	708.00
g04967_00004	g04967	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	390	534	462.00
g04449_00004	g04449	NA	hypothetical protein	90	1	5	1	1	1	0	0	0	0	5	hypothetical protein(5)	NA(5)	285	285	285.00
g00082_00004	g00082	trmE	tRNA modification GTPase TrmE	90	1	778	1	1	1	0	0	0	0	778	tRNA modification GTPase TrmE(778)	trmE(778)	1380	1380	1380.00
g03426_00004	g03426	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	693	693	693.00
g00056_00004	g00056	saeS	integral membrane sensor signal transduction histidine kinase	90	1	778	1	1	1	0	0	0	0	778	integral membrane sensor signal transduction histidine kinase(778)	saeS(778)	744	1056	1055.06
g02366_00004	g02366	NA	hypothetical protein	90	3	775	1	1	1	0	0	0	0	775	hypothetical protein(775)	NA(775)	198	237	236.95
g03629_00004	g03629	msbA	Lipid A export ATP-binding/permease MsbA	90	1	2	1	1	1	0	0	0	0	2	Lipid A export ATP-binding/permease MsbA(2)	msbA(2)	2133	2133	2133.00
g00688_00004	g00688	NA	MerR family transcriptional regulator	90	8	777	1	1	1	0	0	0	0	777	MerR family transcriptional regulator(777)	NA(777)	186	447	408.61
g03163_00004	g03163	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	519	519	519.00
g02354_00004	g02354	NA	hypothetical protein	90	3	5	1	1	1	0	0	0	0	5	hypothetical protein(5)	NA(5)	261	261	261.00
g03046_00004	g03046	NA	hypothetical protein	90	2	16	1	1	1	0	0	0	0	16	hypothetical protein(16)	NA(16)	159	192	189.94
g04411_00004	g04411	ddrOP3	HTH-type transcriptional regulator DdrOP3	90	1	2	1	1	1	0	0	0	0	2	HTH-type transcriptional regulator DdrOP3(2)	ddrOP3(2)	300	300	300.00
g02149_00004	g02149	NA	hypothetical protein	90	3	3	1	1	1	0	0	0	0	3	hypothetical protein(3)	NA(3)	633	633	633.00
g02149_00005	g02149	NA	hypothetical protein	90	3	14	1	1	1	0	0	0	0	14	hypothetical protein(14)	NA(14)	486	633	622.50
g00087_00004	g00087	yacP	putative protein YacP	90	1	778	1	1	1	0	0	0	0	778	putative protein YacP(778)	yacP(778)	525	525	525.00
g02401_00005	g02401	NA	hypothetical protein	90	3	3	1	1	1	0	0	0	0	3	hypothetical protein(3)	NA(3)	162	162	162.00
g02401_00006	g02401	NA	hypothetical protein	90	3	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	162	162	162.00
